Unit: BTU,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
agriculture and forestry 01T03,3.70E+14,2.77E+14,3.38E+14,4.00E+14,4.16E+14,4.33E+14,4.50E+14,4.66E+14,4.83E+14,5.03E+14,5.24E+14,5.44E+14,5.65E+14,5.85E+14,5.86E+14,5.87E+14,5.88E+14,5.89E+14,5.90E+14,5.87E+14,5.84E+14,5.81E+14,5.77E+14,5.74E+14,5.70E+14,5.65E+14,5.60E+14,5.56E+14,5.51E+14,5.46E+14,,,,,,,,,,,,,,,,,,,,
coal mining 05,5.03E+13,5.10E+13,5.16E+13,5.23E+13,5.34E+13,5.45E+13,5.56E+13,5.67E+13,5.78E+13,5.87E+13,5.97E+13,6.07E+13,6.17E+13,6.26E+13,6.33E+13,6.40E+13,6.46E+13,6.53E+13,6.60E+13,6.67E+13,6.74E+13,6.81E+13,6.88E+13,6.95E+13,7.01E+13,7.07E+13,7.13E+13,7.19E+13,7.25E+13,7.31E+13,,,,,,,,,,,,,,,,,,,,
oil and gas extraction 06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
other mining and quarrying 07T08,1.74668E+13,6.30813E+12,1.24722E+13,1.86363E+13,1.92912E+13,1.99462E+13,2.06011E+13,2.1256E+13,2.1911E+13,2.26799E+13,2.34489E+13,2.42178E+13,2.49867E+13,2.57557E+13,2.66583E+13,2.75609E+13,2.84634E+13,2.9366E+13,3.02686E+13,3.13278E+13,3.2387E+13,3.34461E+13,3.45053E+13,3.55645E+13,3.68071E+13,3.80497E+13,3.92923E+13,4.05349E+13,4.17775E+13,4.30201E+13,,,,,,,,,,,,,,,,,,,,
food beverage and tobacco 10T12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
textiles apparel and leather 13T15,5.23E+09,1.77E+09,3.54E+09,5.30E+09,5.34E+09,5.38E+09,5.41E+09,5.45E+09,5.49E+09,5.53E+09,5.57E+09,5.61E+09,5.64E+09,5.68E+09,5.72E+09,5.76E+09,5.80E+09,5.84E+09,5.89E+09,5.93E+09,5.97E+09,6.01E+09,6.05E+09,6.09E+09,6.14E+09,6.18E+09,6.22E+09,6.27E+09,6.31E+09,6.35E+09,,,,,,,,,,,,,,,,,,,,
wood products 16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
pulp paper and printing 17T18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
refined petroleum and coke 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
chemicals 20,5.74E+13,1.96E+15,1.32E+15,6.83E+14,4.63E+13,4.78E+13,4.94E+13,5.09E+13,5.24E+13,5.39E+13,5.59E+13,5.79E+13,5.99E+13,6.20E+13,6.40E+13,6.66E+13,6.93E+13,7.20E+13,7.46E+13,7.73E+13,8.08E+13,8.44E+13,8.79E+13,9.14E+13,9.49E+13,9.96E+13,1.04E+14,1.09E+14,1.14E+14,1.18E+14,,,,,,,,,,,,,,,,,,,,
rubber and plastic products 22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
glass and glass products 231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
cement and other nonmetallic minerals 239,2.17E+14,2.06E+15,1.09E+15,1.13E+14,1.18E+14,1.23E+14,1.29E+14,1.34E+14,1.39E+14,1.44E+14,1.49E+14,1.54E+14,1.59E+14,1.64E+14,1.67E+14,1.71E+14,1.74E+14,1.77E+14,1.80E+14,1.84E+14,1.87E+14,1.90E+14,1.93E+14,1.97E+14,2.00E+14,2.03E+14,2.07E+14,2.10E+14,2.13E+14,2.17E+14,,,,,,,,,,,,,,,,,,,,
iron and steel 241,1.44E+13,5.99E+12,9.14E+12,1.23E+13,1.55E+13,1.65E+13,1.76E+13,1.86E+13,1.97E+13,2.08E+13,2.20E+13,2.32E+13,2.45E+13,2.57E+13,2.70E+13,2.78E+13,2.87E+13,2.96E+13,3.05E+13,3.13E+13,3.05E+13,3.13E+13,3.21E+13,3.29E+13,3.53E+13,3.58E+13,3.64E+13,3.70E+13,3.75E+13,3.81E+13,,,,,,,,,,,,,,,,,,,,
other metals 242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
metal products except machinery and vehicles 25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
computers and electronics 26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
appliances and electrical equipment 27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
other machinery 28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
road vehicles 29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
nonroad vehicles 30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
other manufacturing 31T33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
