Year,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,,
electricity (BTU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
coal (BTU),2.78886E+14,2.90653E+14,3.02421E+14,3.14189E+14,3.25957E+14,3.37725E+14,3.47539E+14,3.57353E+14,3.67168E+14,3.76982E+14,3.86797E+14,3.94742E+14,4.02687E+14,4.10632E+14,4.18577E+14,4.26522E+14,4.34559E+14,4.42596E+14,4.50633E+14,4.5867E+14,4.66706E+14,4.74572E+14,4.82438E+14,4.90303E+14,4.98169E+14,5.06035E+14,5.09207E+14,5.1238E+14,5.15552E+14,5.18725E+14,5.21898E+14,5.2507E+14,5.28243E+14,5.31415E+14,,
natural gas (BTU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
petroleum diesel (BTU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
heat (BTU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
biomass (BTU),1.28767E+14,1.342E+14,1.39633E+14,1.45067E+14,1.505E+14,1.55934E+14,1.60465E+14,1.64997E+14,1.69528E+14,1.7406E+14,1.78591E+14,1.8226E+14,1.85928E+14,1.89596E+14,1.93265E+14,1.96933E+14,2.00644E+14,2.04355E+14,2.08065E+14,2.11776E+14,2.15487E+14,2.19119E+14,2.2275E+14,2.26382E+14,2.30014E+14,2.33645E+14,2.3511E+14,2.36575E+14,2.3804E+14,2.39505E+14,2.4097E+14,2.42435E+14,2.43899E+14,2.45364E+14,,
kerosene (BTU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
heavy or residual fuel oil (BTU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
LPG propane or butane (BTU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
hydrogen (BTU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
