Unit: dimensionless (peak time capacity factors),,
hard coal,0.8800,
natural gas steam turbine,0.9000,
natural gas combined cycle ,0.9000,
nuclear,0.6800,
hydro,0.8750,
onshore wind,0.2572,
solar pv,0.0000,
solar thermal,0.8000,
biomass,0.3000,
geothermal ,1.0000,
petroleum,1.0000,
natural gas nonpeaker,1.0000,
lignite,0.8000,
offshore wind,0.2572,
crude oil,1.0000,
heavy or residual fuel oil,1.0000,
municipal solid waste,0.3000,
hard coal w CCS,0.8800,
natural gas combined cycle w CCS,0.9000,
biomass w CCS,0.3000,
lignite w CCS,0.8000,
small modular reactor,0.6800,
hydrogen combustion turbine,0.9000,
hydrogen combined cycle,0.9000,
